num_jobs,instance_id,solver,solver_key,total_profit,profit_ratio,completion_rate,utilization,makespan,num_scheduled
20,0,Greedy-by-Profit,greedy_profit,289.77,0.3780134627426424,0.2,1.0,10,4
20,0,Earliest Deadline First,edf,307.7300000000001,0.4014428094343562,0.4,1.0,10,8
20,0,Shortest Job First,sjf,340.54999999999995,0.44425746190774357,0.45,1.0,9,9
20,0,Profit Density,profit_density,422.83000000000004,0.5515941348361512,0.35,1.0,10,7
20,0,RL Agent (DQN),rl_agent,401.59,0.5238859319557503,0.3,1.0,9,6
20,1,Greedy-by-Profit,greedy_profit,296.49,0.5409513036180188,0.25,1.0,10,5
20,1,Earliest Deadline First,edf,277.37,0.5060665219215821,0.4,1.0,11,8
20,1,Shortest Job First,sjf,163.65999999999997,0.29860059479282586,0.4,1.0,10,8
20,1,Profit Density,profit_density,343.73,0.6271415278512652,0.25,1.0,9,5
20,1,RL Agent (DQN),rl_agent,343.73,0.6271415278512652,0.25,1.0,9,5
20,2,Greedy-by-Profit,greedy_profit,240.05,0.3748145834959794,0.15,1.0,16,3
20,2,Earliest Deadline First,edf,205.77,0.3212897181669139,0.4,1.0,10,8
20,2,Shortest Job First,sjf,258.46999999999997,0.40357561089858685,0.4,1.0,11,8
20,2,Profit Density,profit_density,268.87,0.4198141931454446,0.35,1.0,10,7
20,2,RL Agent (DQN),rl_agent,279.45000000000005,0.4363338277773441,0.2,1.0,10,4
20,3,Greedy-by-Profit,greedy_profit,283.16,0.390754157179328,0.2,1.0,19,4
20,3,Earliest Deadline First,edf,311.91,0.43042848271579387,0.5,1.0,10,10
20,3,Shortest Job First,sjf,301.22,0.4156765334989306,0.45,1.0,21,9
20,3,Profit Density,profit_density,433.64,0.5984130269785414,0.35,1.0,10,7
20,3,RL Agent (DQN),rl_agent,433.64,0.5984130269785414,0.35,1.0,10,7
20,4,Greedy-by-Profit,greedy_profit,392.8299999999999,0.5487908802615219,0.25,1.0,14,5
20,4,Earliest Deadline First,edf,324.71,0.4536259621966723,0.5,1.0,12,10
20,4,Shortest Job First,sjf,390.46999999999997,0.5454939159832917,0.45,1.0,11,9
20,4,Profit Density,profit_density,502.87999999999994,0.702532795015437,0.35,1.0,10,7
20,4,RL Agent (DQN),rl_agent,507.63999999999993,0.709182604322376,0.35,1.0,12,7
20,5,Greedy-by-Profit,greedy_profit,379.57000000000005,0.6603973832556198,0.35,1.0,11,7
20,5,Earliest Deadline First,edf,353.25,0.6146043566010161,0.45,1.0,10,9
20,5,Shortest Job First,sjf,380.11,0.6613369058389589,0.45,1.0,11,9
20,5,Profit Density,profit_density,403.99,0.7028846823021784,0.4,1.0,11,8
20,5,RL Agent (DQN),rl_agent,403.99,0.7028846823021784,0.4,1.0,11,8
20,6,Greedy-by-Profit,greedy_profit,333.12,0.5599690699120845,0.35,1.0,10,7
20,6,Earliest Deadline First,edf,409.07,0.6876397317151068,0.45,1.0,10,9
20,6,Shortest Job First,sjf,296.76000000000005,0.49884852661836643,0.4,1.0,10,8
20,6,Profit Density,profit_density,364.43,0.6126006488594529,0.35,1.0,10,7
20,6,RL Agent (DQN),rl_agent,364.43,0.6126006488594529,0.35,1.0,10,7
20,7,Greedy-by-Profit,greedy_profit,219.35999999999999,0.5322204968944099,0.25,1.0,12,5
20,7,Earliest Deadline First,edf,186.63,0.45280958850931674,0.45,1.0,10,9
20,7,Shortest Job First,sjf,236.82999999999998,0.5746069487577639,0.45,1.0,12,9
20,7,Profit Density,profit_density,258.68,0.6276203416149068,0.4,1.0,12,8
20,7,RL Agent (DQN),rl_agent,261.37,0.6341469332298136,0.35,1.0,10,7
20,8,Greedy-by-Profit,greedy_profit,394.14,0.5330610368006058,0.3,1.0,22,6
20,8,Earliest Deadline First,edf,413.2,0.5588390429949011,0.5,1.0,12,10
20,8,Shortest Job First,sjf,317.46999999999997,0.4293674515478975,0.4,1.0,11,8
20,8,Profit Density,profit_density,506.96999999999997,0.6856598006464787,0.45,1.0,12,9
