num_jobs,instance,solver,total_profit,profit_ratio,completion_rate,utilization,num_scheduled
30,0,RL Agent (DQN),82.09999999999998,0.6356457107463611,0.5,1.0,15
30,0,Greedy-by-Profit,82.09999999999998,0.6356457107463611,0.5,1.0,15
30,0,Earliest Deadline First,96.87,0.7500000000000002,0.9333333333333333,1.0,28
30,0,Shortest Job First,85.77000000000001,0.6640600805202852,0.8,1.0,24
30,0,Profit Density,82.1,0.6356457107463612,0.5,1.0,15
30,1,RL Agent (DQN),86.81,0.6985033794657227,0.6333333333333333,1.0,19
30,1,Greedy-by-Profit,81.67,0.6571451560991312,0.6333333333333333,1.0,19
30,1,Earliest Deadline First,117.06999999999998,0.9419858384293531,0.9666666666666667,1.0,29
30,1,Shortest Job First,87.75,0.7060669456066947,0.9,1.0,27
30,1,Profit Density,86.81,0.6985033794657227,0.6333333333333333,1.0,19
30,2,RL Agent (DQN),77.60000000000001,0.7942681678607983,0.7,1.0,21
30,2,Greedy-by-Profit,77.60000000000001,0.7942681678607983,0.7,1.0,21
30,2,Earliest Deadline First,97.70000000000003,1.0000000000000002,1.0,1.0,30
30,2,Shortest Job First,68.64,0.7025588536335721,0.8333333333333334,1.0,25
30,2,Profit Density,84.89000000000001,0.8688843398157625,0.7333333333333333,1.0,22
30,3,RL Agent (DQN),84.13999999999999,0.8979722518676629,0.7,1.0,21
30,3,Greedy-by-Profit,83.11999999999999,0.8870864461045894,0.6666666666666666,1.0,20
30,3,Earliest Deadline First,93.69999999999999,1.0000000000000002,1.0,1.0,30
30,3,Shortest Job First,63.940000000000005,0.6823906083244401,0.8666666666666667,1.0,26
30,3,Profit Density,83.11999999999999,0.8870864461045894,0.6666666666666666,1.0,20
30,4,RL Agent (DQN),100.15000000000003,0.7428423082628693,0.6666666666666666,1.0,20
30,4,Greedy-by-Profit,109.91000000000001,0.8152351283192406,0.6666666666666666,1.0,20
30,4,Earliest Deadline First,128.23000000000002,0.9511200118676756,0.9666666666666667,1.0,29
30,4,Shortest Job First,72.81,0.5400534045393859,0.7666666666666667,1.0,23
30,4,Profit Density,100.15000000000002,0.7428423082628692,0.6666666666666666,1.0,20
30,5,RL Agent (DQN),98.81,0.6132315521628499,0.5333333333333333,1.0,16
30,5,Greedy-by-Profit,98.81,0.6132315521628499,0.5333333333333333,1.0,16
30,5,Earliest Deadline First,139.73999999999998,0.8672500465462669,0.9666666666666667,1.0,29
30,5,Shortest Job First,102.69,0.6373114876186929,0.7666666666666667,1.0,23
30,5,Profit Density,104.03999999999999,0.6456898156767827,0.5,1.0,15
30,6,RL Agent (DQN),84.72,0.7082427687677648,0.4666666666666667,1.0,14
30,6,Greedy-by-Profit,77.21,0.6454606253134929,0.5,1.0,15
30,6,Earliest Deadline First,101.21000000000002,0.8460959705734832,0.9,1.0,27
30,6,Shortest Job First,81.11,0.6780638689182413,0.7333333333333333,1.0,22
30,6,Profit Density,76.41000000000001,0.6387727804714933,0.4666666666666667,1.0,14
30,7,RL Agent (DQN),157.89000000000007,0.8127766910326368,0.6333333333333333,1.0,19
30,7,Greedy-by-Profit,157.8900000000001,0.8127766910326369,0.6333333333333333,1.0,19
30,7,Earliest Deadline First,194.26000000000005,1.0,1.0,1.0,30
30,7,Shortest Job First,152.78,0.7864717389066198,0.8333333333333334,1.0,25
30,7,Profit Density,157.89000000000007,0.8127766910326368,0.6333333333333333,1.0,19
30,8,RL Agent (DQN),158.23,0.7532251154377111,0.4666666666666667,1.0,14
30,8,Greedy-by-Profit,158.23,0.7532251154377111,0.4666666666666667,1.0,14
30,8,Earliest Deadline First,183.23999999999998,0.8722806683486455,0.9666666666666667,1.0,29
30,8,Shortest Job First,107.31,0.5108297234255248,0.7666666666666667,1.0,23
30,8,Profit Density,158.23,0.7532251154377111,0.4666666666666667,1.0,14
30,9,RL Agent (DQN),69.71000000000001,0.5926209300348552,0.5333333333333333,1.0,16
30,9,Greedy-by-Profit,69.71000000000001,0.5926209300348552,0.5333333333333333,1.0,16
30,9,Earliest Deadline First,75.52,0.6420130918983252,0.8666666666666667,1.0,26
30,9,Shortest Job First,54.93,0.4669727110431013,0.7333333333333333,1.0,22
30,9,Profit Density,76.24000000000001,0.648133979427017,0.5666666666666667,1.0,17
30,10,RL Agent (DQN),118.44,0.8842765417351055,0.5666666666666667,1.0,17
30,10,Greedy-by-Profit,118.44,0.8842765417351055,0.5666666666666667,1.0,17
30,10,Earliest Deadline First,94.96,0.7089741675377036,0.9333333333333333,1.0,28
30,10,Shortest Job First,40.42,0.3017769150365836,0.7333333333333333,1.0,22
30,10,Profit Density,118.44,0.8842765417351055,0.5666666666666667,1.0,17
30,11,RL Agent (DQN),82.1,0.8346888979259861,0.5,1.0,15
30,11,Greedy-by-Profit,82.1,0.8346888979259861,0.5,1.0,15
30,11,Earliest Deadline First,96.71,0.983224888165921,0.9333333333333333,1.0,28
30,11,Shortest Job First,67.16,0.6827978853192355,0.8666666666666667,1.0,26
